user_id,goods_id,rating
11326,1,1.5
11326,2,0.3
11326,3,0.9
199,5,1.8
200,5,1.2
202,5,0.6
11326,5,2.7
81753,5,2.4
82036,5,0.9
82500,5,2.3
82612,5,0.3
11326,6,0.3
208,7,0.3
209,7,10.1
5013,7,1.1
11326,7,0.3
80782,7,0.3
81699,7,1.5
81753,7,4.9
82500,7,0.6
82621,7,0.3
82866,7,0.3
5013,8,0.3
81753,8,1.1
251,9,3.8
1909,9,0.3
72491,9,0.3
72731,9,0.3
81753,9,0.6
82555,9,0.3
82594,9,0.3
82631,9,0.3
208,10,3.9
5013,10,0.3
72618,10,0.3
72791,10,0.3
81753,10,0.3
82621,10,0.6
251,11,0.3
5013,11,0.3
72491,11,0.3
81753,11,1.4
82631,11,0.3
11326,12,0.3
72491,12,0.6
81753,12,3.5
82621,12,0.3
72491,13,2.3
5355,14,0.3
72491,14,2.4
199,15,0.6
72491,17,0.3
72491,18,0.3
81753,18,0.3
72491,19,0.9
5355,20,0.3
72491,20,0.9
82621,20,0.9
201,21,0.3
72491,21,0.3
81699,21,0.3
81753,21,0.6
82621,21,7.3
82625,21,0.3
72491,23,0.6
81753,24,0.3
208,27,0.3
209,27,0.3
11330,27,0.3
72491,27,0.6
72491,28,0.3
81753,28,0.3
82449,28,3.9
209,29,0.3
11330,29,1.7
72491,29,0.3
82581,29,0.3
82626,29,2.2
82631,29,0.3
72491,30,1.1
82629,30,0.3
201,31,0.3
209,31,0.3
82555,31,0.3
82594,31,2.0
82555,32,1.4
82449,33,1.4
72491,34,0.3
81699,34,1.1
82555,35,0.9
82631,35,0.3
11326,36,0.3
72491,36,0.3
11330,38,0.3
81699,38,0.6
82631,38,0.3
201,39,0.3
82567,39,0.3
82629,39,2.0
82449,40,0.3
82631,40,0.3
82449,41,0.6
82567,41,0.3
82631,41,0.3
72525,42,0.6
81699,42,0.3
82631,42,7.5
72860,44,1.1
82555,44,0.3
82631,44,0.3
81753,45,0.3
82639,46,2.2
80782,47,0.3
82637,47,2.5
38723,48,2.3
81753,48,0.3
80782,50,0.6
81753,50,0.3
82626,51,0.3
82631,52,2.8
80782,53,1.1
82629,53,0.3
82631,53,0.3
82631,55,1.4
82644,55,0.3
82631,56,0.3
81699,57,0.3
82629,57,0.6
82643,58,1.1
81753,60,0.6
82631,60,1.1
82581,61,0.3
82629,61,0.3
82629,62,1.2
201,64,0.3
80782,65,0.3
81699,65,0.3
80782,67,0.3
201,68,0.6
82629,68,0.9
82631,69,0.3
5603,71,0.3
80782,71,0.3
81753,71,0.3
209,72,0.3
82652,72,1.1
81753,73,0.3
80782,74,0.3
81699,74,0.3
82651,74,2.8
80782,75,0.6
81004,75,0.3
81753,75,0.3
82651,75,0.3
82581,76,1.1
82651,76,0.3
82654,77,2.7
81753,78,0.3
82581,78,0.6
82631,78,0.3
201,79,0.3
80782,79,0.3
82581,79,0.3
82631,79,0.3
80782,80,0.6
82663,81,0.3
72491,82,0.3
82631,82,0.6
82569,83,0.3
82663,83,0.6
209,84,0.3
82581,84,0.3
80782,85,1.4
72491,86,0.3
80782,86,0.6
81004,86,0.8
81753,87,0.3
82569,88,0.3
80782,89,2.6
81004,89,0.3
81753,90,0.6
82631,90,0.3
72491,91,0.3
80782,91,0.3
81004,91,0.8
72491,93,0.3
72491,94,0.3
80782,94,0.3
82631,94,0.6
72491,95,0.3
80782,95,1.2
81004,95,0.6
81699,96,1.1
82631,97,0.3
82631,98,0.3
81699,99,0.3
81753,99,0.3
82631,100,2.7
82631,101,1.1
82631,102,0.3
82631,103,1.7
82631,104,1.4
82866,104,0.3
72799,105,0.3
80782,105,0.3
81753,105,1.4
82631,105,2.8
82651,105,0.3
82631,106,0.3
82397,107,0.3
82651,107,0.3
201,108,0.3
72618,110,0.6
80782,110,0.3
81753,110,0.8
82569,110,0.3
80782,112,0.6
80782,113,0.6
82569,113,0.3
82672,113,0.3
81699,115,0.3
82569,115,0.3
80782,116,0.3
81699,116,0.3
82663,116,0.3
82672,116,0.3
72618,117,0.3
81753,117,1.4
